X--Trace 1::[A + B],Y--Trace 1::[A + B]
2.40929e-005,0
2.41329e-005,0
2.41729e-005,0
2.42129e-005,0
2.42529e-005,0
2.42929e-005,0
2.43329e-005,0
2.43729e-005,0
2.44129e-005,0
2.44529e-005,0
2.44929e-005,0
2.45329e-005,0
2.45729e-005,0
2.46129e-005,0
2.46529e-005,0
2.46929e-005,0
2.47329e-005,0
2.47729e-005,0
2.48129e-005,0
2.48529e-005,0
2.48929e-005,0
2.49329e-005,0
2.49729e-005,0
2.5e-005,1.69407e-011
2.50001e-005,0.5
2.50003e-005,1.5
2.50007e-005,3.5
2.5001e-005,5
2.50011e-005,5
2.50012e-005,5
2.50014e-005,5
2.50018e-005,5
2.50026e-005,5
2.50043e-005,5
2.50077e-005,5
2.5011e-005,5
2.50111e-005,4.5
2.50113e-005,3.5
2.50117e-005,1.5
2.5012e-005,3.96749e-012
2.50121e-005,0
2.50122e-005,0
2.50126e-005,0
2.50132e-005,0
2.50145e-005,0
2.5017e-005,0
2.50222e-005,0
2.50324e-005,0
2.50529e-005,0
2.50929e-005,0
2.51329e-005,0
2.51729e-005,0
2.52129e-005,0
2.52529e-005,0
2.52929e-005,0
2.53329e-005,0
2.53729e-005,0
2.54129e-005,0
2.54529e-005,0
2.54929e-005,0
2.55329e-005,0
2.55729e-005,0
2.56129e-005,0
2.56529e-005,0
2.56929e-005,0
2.57329e-005,0
2.57729e-005,0
2.58129e-005,0
2.58529e-005,0
2.58929e-005,0
2.59329e-005,0
2.59729e-005,0
2.6e-005,0
2.60001e-005,0.5
2.60003e-005,1.5
2.60007e-005,3.5
2.6001e-005,5
2.60011e-005,5
2.60012e-005,5
2.60014e-005,5
2.60018e-005,5
2.60026e-005,5
2.60043e-005,5
2.60077e-005,5
2.6011e-005,5
2.60111e-005,4.5
2.60113e-005,3.5
2.60117e-005,1.5
2.6012e-005,3.96749e-012
2.60121e-005,0
2.60122e-005,0
2.60126e-005,0
2.60132e-005,0
2.60145e-005,0
2.6017e-005,0
2.60222e-005,0
2.60324e-005,0
2.60529e-005,0
2.60929e-005,0
2.61329e-005,0
2.61729e-005,0
2.62129e-005,0
2.62529e-005,0
2.62929e-005,0
2.63329e-005,0
2.63729e-005,0
2.64129e-005,0
2.64529e-005,0
2.64929e-005,0
2.65329e-005,0
2.65729e-005,0
2.66129e-005,0
2.66529e-005,0
2.66929e-005,0
2.67329e-005,0
2.67729e-005,0
2.68129e-005,0
2.68529e-005,0
2.68929e-005,0
2.69329e-005,0
2.69729e-005,0
2.7e-005,0
2.70001e-005,0.5
2.70003e-005,1.5
2.70007e-005,3.5
2.7001e-005,5
2.70011e-005,5
2.70012e-005,5
2.70014e-005,5
2.70018e-005,5
2.70026e-005,5
2.70043e-005,5
2.70077e-005,5
2.7011e-005,5
2.70111e-005,4.5
2.70113e-005,3.5
2.70117e-005,1.5
2.7012e-005,3.96749e-012
